"Fuente","Título","Autor","Editorial","ISSN-e","ISSN","ISBN","Volumén","Número","Páginas"
"Artículo","Comments on: optimization and data mining in medicine","Victoria C. P. Chen, Seoung Bum Kim, Jay Rosenberger","Top","","","","","","240-246"
"Artículo","Comments on: optimization and data mining in biomedicine","Christodoulos A. Floudas","Top","","","","","","237-238"
"Artículo","Mastering Data Mining (Book Review).","","Technometrics: A journal of statistics for the physical","","","","","",""
"Artículo","Data Mining Techniques (Book Review).","","Technometrics: A journal of statistics for the physical","","","","","",""
"Artículo","Clustering with obstacles for Geographical Data Mining","Vladimir Estivill- Castro, Ickjai Lee","ISPRS journal of photogrammetry and remote sensing","","","","","","21-34"
"Artículo","Techniques of Cluster Algorithms in Data Mining","J. Grabmeier","Data mining and knowledge discovery","","","","","","303-360"
"Artículo","EMERGING SCIENTIFIC APPLICATIONS IN DATA MINING","Russ B. Altman, Daryl Pregibon, Vipin Kumar, Heikki Mannila","Communications of the ACM","","","","","","54-58"
"Artículo","A Review of Software Packages for Data Mining","","American statistician","","","","","","290-309"
"Artículo","Incorporating Metadata into Data Mining with Ontology","Guoqi Li, Huanye Sheng, Xun Fan","IEICE transactions on information and systems","","","","","","983-985"
"Artículo","Data Preprocessing: A preliminary step for web data mining","Huma Jamshed, Sadiq Ali Khan, Muhammad Khurram, Syed Inayatullah, Sameen Athar","3c Tecnología: glosas de innovación aplicadas a la pyme","","","","","","206-221"
"Artículo","DATA-DRIVEN EVOLUTION OF DATA MINING ALGORITHMS","Daryl Pregidon, Christos Faloutsos, Padhraic Smyth","Communications of the ACM","","","","","","33-37"
"Artículo","Datenschutz bei Data Warehouses und data Mining","Alfred Büllesbach","Computer Und Recht: Forum für die Praxis des Rechts der Datenverargeitung","","","","","","11-17"
"Artículo","On data mining, compression, and Kolmogorov complexity","Christos Faloutsos, Vasileios Megalooikonomou","Data mining and knowledge discovery","","","","","","3-20"
"Artículo","Ontology of core data mining entities","Panče Panov, Larisa Soldatova, Sašo Džeroski","Data mining and knowledge discovery","","","","","","1222-1265"
"Artículo","""Data mining"" y márketing a través de internet","David F. Nettleton","Harvard Deusto Márketing y Ventas","","","","","","22-26"
"Artículo","Mining functional dependencies from data","Hong Yao, Howard J. Hamilton","Data mining and knowledge discovery","","","","","","197-219"
"Artículo","Mining outlying aspects on numeric data","Lei Duan, Guanting Tang, Jian Pei, James Bailey, Akiko Campbell, Changjie Tang","Data mining and knowledge discovery","","","","","","1116-1151"
"Artículo","Data management: Harnessing the mining loT","","Mining magazine","","","","","","76-77"
"Artículo","Mining the rich ore in big data","Paul Higgins","Mining magazine","","","","","","26-28"
"Artículo","Wishbuuk: regalos perfectos y data mining","","Interactiva: Revista de la comunicación y el marketing digital","","","","","","64-65"
"Artículo","Los nuevos retos de la estadística, el data mining","Tomàs Aluja Banet","Investigación y marketing","","","","","","34-39"
"Artículo","Comments on: optimization and data mining in biomedicine","Sergiy Butenko","Top","","","","","",""
"Artículo","Comments on: optimization and data mining in medicine","Adil Bagirov","Top","","","","","","250-252"
"Artículo","Comments on: optimization and data mining in medicine","Wanpracha Art Chaovalitwongse","Top","","","","","","247-249"
"Artículo","Data Mining and Uncertain Reasoning (Book).","","Technometrics: A journal of statistics for the physical","","","","","",""
"Artículo","Data Mining Techniques (2nd ed.)","","Technometrics: A journal of statistics for the physical","","","","","",""
"Artículo","Data mining: An excellent research tool","P. E. Windle","Journal of perianesthesia nursing","","","","","","355-356"
"Artículo","EVOLVING DATA MINING INTO SOLUTIONS FOR INSIGHTS","Ramasamy Uthurusamy, Usama Fayyad","Communications of the ACM","","","","","","28-31"
"Artículo","Applications of Data Mining to Electronic Commerce","R. Kohavi, F. Provost","Data mining and knowledge discovery","","","","","","5-10"
"Artículo","Is Data Mining Right for Your Library?","Kyle Banerjee","Computers in libraries: Complete coverage of library information technology","","","","","","28-31"
"Artículo","Sports Knowledge Management and Data Mining.","R.P. Schumaker","Annual Review of Information Science and Technology","","","","","","115-157"
"Artículo","Component-based Data Mining Frameworks","Fernando Berzal, Ignacio Blanco, Nicolas Marin, Juan Carlos Cubero Talavera","Communications of the ACM","","","","","","97-100"
"Artículo","Granules-mining versus data mining or clustering fuzzy concepts expressed by humans","Vasile Georgescu","Emergent solutions for the information and knowledge economy: proceedings of the Tenth International Association for Fuzzy-Set Management and Economy Congress: León","","","","","","71-83"
"Artículo","El cens de població: un assaig d'interpretació mitjançant data mining","Cristina Guillande Allende, Francesc Subirada Curco","Questiió: Quaderns d'Estadística","","","","","","553-580"
"Artículo","Using data warehousing and data mining techniques for the development of digital libraries for LMS","Cassia Blondet Baruque, Rubens Nascimento Melo","Proceedings of the IADIS International Conference WWW/INTERNET 2004: Madrid","","","","","","227-234"
"Artículo","Cost model development using virtual manufacturing and data mining: part II-comparison of data mining algorithms","D. Stockton, Riham Khalil, Lawrence Mukhongo","International journal of advanced manufacturing technology","","","","","","1389-1396"
"Artículo","Graphical Models: Methods for Data Analysis and Mining (Book).: Methods for Data Analysis and Mining (Book).","","Technometrics: A journal of statistics for the physical","","","","","",""
"Artículo","Algoritmos de Data Mining aplicados la enseñanza basada en la Web.","Ing. Cynthia Lorena Corso, Sofia Alfaro","Ciencia y tecnología","","","","","",""
"Artículo","Discovering data dependencies in web content mining","José Carlos Cortizo Pérez, Ignacio Giráldez","Proceedings of the IADIS International Conference WWW/INTERNET 2004: Madrid","","","","","","881-884"
"Artículo","Toward data mining engineering: a software engineering approach","Oscar Marbán, Javier Segovia, Ernestina Menasalvas, María Covadonga Fernández Baizán","Information systems","","","","","","87-107"
"Artículo","A Tool for Automatic Generation of Data Mining Practice Environments","Fernando Terroso-Saenz, Adrián Hernández","Revista Iberoamericana de Tecnologías del Aprendizaje: IEEE-RITA","","","","","","171-179"
"Artículo","Interesting pattern mining in multi-relational data","Eirini Spyropoulou, Tijl De Bie, Mario Boley","Data mining and knowledge discovery","","","","","","808-849"
"Artículo","Mining social and affective data for recommendation of student tutors","Elisa Boff, Eliseo Berni Reategui","IJIMAI","","","","","","32-38"
"Artículo","Data Mining: convirtiendo datos en información (III)","Alvaro Zabala Ordóñez","Sólo programadores","","","","","","52-57"
"Artículo","Data Mining: Convirtiendo datos en información (I)","Alvaro Zabala Ordóñez","Sólo programadores","","","","","","26-31"
"Artículo","Aportaciones del proceso Data Mining en el análisis de datos","Rafael Jiménez López, Alfonso Luis Palmer Pol, Juan José Montaño Moreno, Albert Sesé Abad, Berta Cajal Blasco, Noelia Llorens Aleixandre","Metodología de las ciencias del comportamiento","","","","","","322-326"
"Artículo","Mining is broken, but data analysis can help fix it","Kasia Patel","Industrial Minerals","","","","","",""
"Artículo","La metodología del ""Data Mining"". Una aplicación al consumo de alcohol en adolescentes","Elena Gervilla García, Rafael Jiménez López, Juan José Montaño Moreno, Albert Sesé Abad, Berta Cajal Blasco","Adicciones: Revista de socidrogalcohol","","","","","","65-80"
"Artículo","Utilización de Tecnología Data Mining en la construcción y explotación de los Data Warehouse","David F. Nettleton","Novática: Revista de la Asociación de Técnicos de Informática","","","","","",""
"Artículo","A UML profile for the conceptual modelling of data-mining with time-series in data warehouses","José J. Zubcoff Vallejo, Jesús Pardillo, Juan Trujillo Mondéjar","Information and software technology","","","","","","977-992"
"Artículo","Using Twitter to engage with customers: : a data mining approach","Shintaro Okazaki, Ana María Díaz Martín, Mercedes Rozano Suplet, Hector de Menéndez Benito","Internet research: Electronic networking applications and policy","","","","","","416-434"
"Artículo","Data Mining using Genetic Algorithms","Darrin J. Marshall","Industrial applications of genetic algorithms / Charles L. Karr (ed. lit.)","","","","","","159-194"
"Artículo","An integrated, generic approach to pattern mining: data mining template library","Vineet Chaoji, Mohammad Al Hasan, Saeed Salem, M. J. Zaki","Data mining and knowledge discovery","","","","","","457-495"
"Artículo","Evaluación de riesgos con Data Mining: el sistema financiero español","José Alejandro Fernández Fernández, Virginia Bejarano Vázquez, Juan Antonio Vicente Vírseda","Revista Mexicana de Economía y Finanzas (REMEF): nueva época","","","","","","309-328"
"Artículo","Data mining of biometric data: Revisiting the concept of private life?","Crystalie Bourcha, Maria-Louiza Deftou, Anthi Koskina","IUS ET SCIENTIA: Revista electrónica de Derecho y Ciencia","","","","","","37-62"
"Artículo","Big Data and data mining: Opinion mining in the field of microblogging on Twitter. State of the art and new trends","Joan Miquel Vergés","To the Next Station: Papers on Culture and Digital Communication / coord. por María José Corvo Sánchez","","","","","","165-190"
"Artículo","Data Mining: Presente y futuro de la inteligencia crimninal","Andrés López Rodríguez, Antonio López Rodríguez, Rebeca Luque Cruz, Segi Ibáñez Castella","Ciencia policial: revista del Instituto de Estudios de Policía","","","","","","99-124"
"Artículo","Model-based exception mining for object-relational data","Fatemeh Riahi, Oliver Schulte","Data mining and knowledge discovery","","","","","","681-722"
"Artículo","Multi-relational pattern mining over data streams","Andreia Silva, Cláudia Antunes","Data mining and knowledge discovery","","","","","","1783-1814"
"Artículo","Análisis de actividad de un servicio de teleasistencia social mediante Big Data y Data Mining","Alfredo Moreno Muñoz, Juan Alfonso Lara Torralbo","Revista Tecnología","","","","","","88-102"
"Artículo","Generalized Gini Correlation and its Application in Data-Mining","Yi Gao, Wenxin Jiang, Martin Tanner","Data mining and knowledge discovery","","","","","","1455-1479"
"Artículo","Perspectivas en recuperación y explotación de información electrónica: el ""Data Mining""","Jesús Tramullas Saz","Scire: Representación y organización del conocimiento","","","","","","73-84"
"Artículo","Data Mining: Convirtiendo datos en información (II)","Alvaro Zabala Ordóñez","Sólo programadores","","","","","","52-56"
"Artículo","La gestión de bases de datos a través del Data Mining","Owen P. Jr. Hall","E-Deusto: conocimiento para ir por delante","","","","","","65-68"
"Artículo","Mining significant association rules from uncertain data","Anshu Zhang, Wenzhong Shi, Geoffrey I. Webb","Data mining and knowledge discovery","","","","","","928-963"
"Artículo","Association Rule Filter for Data Mining in Call Tracking Data","K. Matsumoto, K. Hashimoto","IEICE transactions on communications","","","","","","2481-2486"
"Artículo","Results from a Data Mining Approach to Predictive Toxicology: The Case of Pesticide Data","Giuseppina Gini, Emilio Benfenati","Pattern Recognition in information systems: proceedings of the 2nd International Workshop on Pattern Recognition in information Systems","","","","","","114-123"
"Artículo","Discovering Knowledge in Data/Next Generation of Data-Mining Applications","Eric R. Ziegel","Technometrics: A journal of statistics for the physical","","","","","","528-529"
"Artículo","La gestión de la información y el conocimiento en las empresas: Data Warehouse y Data Mining","Manuel Fernández Sande, Joaquín Martínez Romero","Reflexiones en torno a la libertad de empresa informativa: libro homenaje al profesor Pedro Farias García / coord. por Manuel Sevillano Puente; Pedro Farias García (hom.)","","","","","","243-259"
"Artículo","Mining relaxed functional dependencies from data.","Loredana Caruccio, Vincenzo Deufemia, Giuseppe Polese","Data mining and knowledge discovery","","","","","",""
"Artículo","Minería del uso de webs","José Luis Ortega Priego, Isidro F. Aguillo Caño","El profesional de la información","","","","","","20-26"
"Artículo","Improving Image Retrieval using a Data mining Approach","Houaria Abed, Lynda Zaoui","Inteligencia artificial: Revista Iberoamericana de Inteligencia Artificial","","","","","","97-113"
"Artículo","Data mining for business intelligence in distribution chain analytics","Olusegun Folorunso, Adewale O. Ogunde, Rebecca O. Vincent, Oluwatimilehin Salako","International journal of the computer","","","","","","15-26"
"Artículo","Data Mining, Dog Sniffs, and the Fourth Amendment","","Harvard law review","","","","","","691-712"
"Artículo","Constructive data mining: modeling consumer's expenditure in Venezuela","Julia Campos Fernández, Neil R. Ericsson","General-to-specific modelling / Julia Campos Fernández (ed. lit.)","","","","","","622-636"
"Artículo","The Fuzzy Set and Data Mining Applications in Accounting and Finance","Wikil Kwak, Cheng-Few Lee, Yong Shi","Handbook of quantitative finance and risk management / coord. por Cheng-Few Lee","","","","","","1307-1331"
"Artículo","Efficient implementation of data mining: Improve customer's behaviour","Abdullah Al-Mudimigh, Farrukh Saleem, Zahid Ullah","The 7th ACS/IEEE International Conference on Computer Systems and Applications (AICCSA-2009)","","","","","","7-10"
"Artículo","Data Mining, la predición de comportamientos por el análisis y la segmentación","Agustín Gutiérrez","MK: Marketing + ventas","","","","","","30-31"
"Artículo","Predicting Academic Performance by Data Mining Methods.","J.-P. Vandamme, N. Meskens, J.-F. Superby","Education economics","","","","","","405-420"
"Artículo","Data Mining Using SAS Applications (Book).","","Technometrics: A journal of statistics for the physical","","","","","",""
"Artículo","Data Mining: Next Generation Challenges and Future Directions","","Journal of the American Statistical Association","","","","","",""
"Artículo","Statistical Data Mining and Knowledge Discovery (Book)","Murray Jorgensen","Journal of the American Statistical Association","","","","","",""
"Artículo","Data Mining Using SAS Applications (Book)","","Journal of the American Statistical Association","","","","","",""
"Artículo","Mining Multiple Data Sources: Local Pattern Analysis","M. J. Zaki, S. Zhang","Data mining and knowledge discovery","","","","","","121-125"
"Artículo","Data mining model for identifying project profitability variables","Andrew S. Chang, S. S. Leu","International journal of project management","","","","","","199-206"
"Artículo","Efficient data mining for web navigation patterns","Dongshan Xing, Junyi Shen","Information and software technology","","","","","","55-63"
"Artículo","HANDBOOK OF DATA MINING AND KNOWLEDGE DISCOVERY (Book)","","Journal of marketing research","","","","","","372-374"
"Artículo","A data-mining approach to improving Polycythemia Vera diagnosis","Mehmed Kantardzic, Benjamin Djulbegovic, Hazem Hamdan","Computers & industrial engineering","","","","","","765-773"
"Artículo","Constructive data mining: modeling consumers&#146; expenditure in Venezuela","Neil R. Ericsson, Julia Campos","Econometrics journal","","","","","","226-240"
"Artículo","A hybrid data mining technique for vehicle fault diagnosis","A. C. M. Fong, G. Jha, Siu Cheung Hui","International journal of engineering intelligent systems for electrical engineering and communications","","","","","","113-122"
"Artículo","Mining data from an electronic Greek lexicon","Jeffrey A. Rydberg-Cox","Classical journal","","","","","","183-188"
"Artículo","Improving Image Retrieval using a Data mining Approach","Houaria Abed, Lynda Zaoui","Inteligencia artificial: Revista Iberoamericana de Inteligencia Artificial","","","","","","97-113"
"Artículo","Generalized additive multi-mixture model for data mining","Claudio Conversano, Roberta Siciliano, Francesco Mola","Quality control and applied statistics","","","","","","211-212"
"Artículo","Are the MCVL tax data useful? Ideas for mining","José María Arranz Muñoz, Carlos García Serrano","Hacienda Pública Española / Review of Public Economics","","","","","","151-186"
"Artículo","Characterising a database of spoken German by techniques of data mining","Karl Weilhammer, Susanne Burger","First International Conference on language resources & evaluation: Granada","","","","","","1353-1358"
"Artículo","Statistical Data Mining and Knowledge Discovery (Book).","","Technometrics: A journal of statistics for the physical","","","","","",""
"Artículo","Data mining as a method for Linguistic Analysis: Dutch diminutives","Walter Daelemans, Peter Berck, Steven Gillis","Folia lingüística: Acta Societatis Linguisticae Europaeae","","","","","","57-76"
"Artículo","Data mining: proprietary rights, people and proposals.","Dinah Payne, Cherie Courseault Trumbach","Business Ethics: A european review","","","","","","241-252"
"Artículo","Arquitecturas Data mining como fuente de ventajas competitivas","Ignacio Gil Pechuán","Novática: Revista de la Asociación de Técnicos de Informática","","","","","",""
"Artículo","A Framework for Evaluating Privacy Preserving Data Mining Algorithms*","L. P. Provenza, E. Bertino, I. N. Fovino","Data mining and knowledge discovery","","","","","","121-154"
"Artículo","A documentation infrastructure for the management of data mining projects","Cinara Ghedini, Karin Becker","Information and software technology","","","","","","95-111"
"Artículo","Applied Data Mining: Statistical Methods for Business and Industry","Richard J. Cleary","Journal of the American Statistical Association","","","","","","1317-1318"
"Artículo","Eureka! Data mining becomes today's workable strategy","","T & P: Tooling and production","","","","","","20-22"
"Artículo","USING DATA MINING TO PROFILE TV VIEWERS","Mordechai Gal-Or, Jerrold H. May, William E. Spangler","Communications of the ACM","","","","","","67-72"
"Artículo","Software Performs Data Mining, Graphical Reporting","","Quality progress","","","","","","94-95"
"Artículo","Data mining techniques for improved WSR-88D rainfall estimation","T.B. Trafalis, M.B. Richman, B. Santosa, A. White","Computers & industrial engineering","","","","","","775-786"
"Artículo","Measuring the impact of data mining on churn management","M. A. P. M. Lejeune","Internet research: Electronic networking applications and policy","","","","","","375-387"
"Artículo","Data Mining for Measuring and Improving the Success of Web Sites","M. Spiliopoulou","Data mining and knowledge discovery","","","","","","85-114"
"Artículo","Statistical Mining and Data Visualization in Atmospheric Sciences","P. W. Mielke, T. J. Brown","Data mining and knowledge discovery","","","","","","5-6"
"Artículo","SEARCH TECHNIQUE MAKES MINING DATA FASTER","","Mechanical engineering","","","","","","14-15"
"Artículo","A Fuzzy Logic Approach Towards Inferential Data Mining","Stuart H. Rubin","Computers & industrial engineering","","","","","","267-270"
"Artículo","Mining Pharmacy Data Helps to Make Profits","Yasuyuki Matsuda, Naoki Katoh, Katsutoshi Yada, Yukinobu Hamuro","Data mining and knowledge discovery","","","","","","391-398"
"Artículo","A data mining tool for learning from manufacturing systems","David A. Koonce, Cheng-Huang Fang","Computers & industrial engineering","","","","","","27-30"
"Artículo","Constructive data mining: modeling consumers&#039; expenditure in Venezuela","Neil R. Ericsson, Julia Campos","Econometrics journal","","","","","","226-240"
"Artículo","Data mining en economía: una aplicación al comercio exterior","Mauricio Beltrán Pascual, Catalina Bolancé Losilla, Alex Costa Saenz de San Pedro, Montserrat Guillén Estany","9.º Congreso de Economía de Castilla y León: comunicaciones. Palencia días 25","","","","","","184-204"
"Artículo","Educational data mining: a profile analysis of Brazilian students","Edna Dias Canedo, Heloise Acco Tives Leão, Rhandy Rafhael de Carvalho, Ruyther Parente da Costa, Giovanni Almeida Santos, Márcio Vinicius Okimoto","Computational Science and Its Applications -- ICCSA 2019","","","","","","473-488"
"Artículo","'Data Mining': una estrategia clave para cualquier sector de negocio","José Luis Cortina","Harvard Deusto Márketing y Ventas","","","","","","45-47"
"Artículo","Minería de datos en educación: una revisión literaria","Jessica Johanna Morales Carrillo, Viviana Katherine Trujillo Utreras, Sulay Katerine Cevallos Molina, Santana Cedeño Hiraida Monserrate","Revista ESPAMCIENCIA","","","","","","14-20"
"Artículo","Data mining techniques applied in educational environments: Literature Review","Andrés Villanueva Manjarres, Luis Gabriel Moreno Sandoval, Martha Salinas Suárez","Digital Education Review","","","","","","235-266"
"Artículo","Statistical Comparisons of the Top 10 Algorithms in Data Mining for Classi cation Task","Nesma Settouti, Mohammed El Amine Bechar, Mohammed Amine Chikh","IJIMAI","","","","","","46-51"
"Artículo","Loyalty index of students, a view from the Tesjo stage with data mining","Erika López González, Roberto Alejo, Juan Velázquez","ECORFAN Journal-Spain","","","","","","133-139"
"Artículo","Data-Mining Opportunities for Small and Medium Enterprises with Official Statistics in the UK","Shirley Y. Coleman","Journal of official statistics","","","","","","849-865"
"Artículo","Towards A Reusable And Extensible Adapter Framework For A Data Mining Middleware","Lai Ee Hen, Sai Peck Lee","International journal of the computer","","","","","","61-69"
"Artículo","Predicting School Failure and Dropout by Using Data Mining Techniques","Carlos Márquez Vera, Cristóbal Romero Morales, Sebastián Ventura Soto","Revista Iberoamericana de Tecnologías del Aprendizaje: IEEE-RITA","","","","","","7-14"
"Artículo","On static and dynamic methods for condensation-based privacy-preserving data mining","Charu C. Aggarwal, Philip S. Yu","ACM transactions on database systems","","","","","","41-79"
"Artículo","An efficient and effective similarity measure to enable data mining of petroglyphs","Qiang Zhu, Xiaoyue Wang, Eamonn Keogh, Sang Hee Lee","Data mining and knowledge discovery","","","","","","91-127"
"Artículo","Uncertainty, knowledge discovery and data mining in GIS","Giles M. Foody","Progress in physical geography","","","","","","113-121"
"Artículo","High Performance OLAP and Data Mining on Parallel Computers","Sanjay Goil *, Alok Choudhary *","Data mining and knowledge discovery","","","","","","391-417"
"Artículo","Effect of Data Distribution in Parallel Mining of Associations","Yongqiao Xiao, David W. Cheung","Data mining and knowledge discovery","","","","","","291-314"
"Artículo","Quantitative investment model based on data mining","Daxing Wang","Métodos numéricos para cálculo y diseño en ingeniería: Revista internacional","","","","","","1-7"
"Artículo","Data mining applications to rubber extrusion lines","Rosa Guadalupe Rodríguez Arana, Joaquín Bienvenido Ordieres Meré, Isabel Ortiz Marcos, Francisco Javier Sánchez Alejo, Luis María López González","XI International Congress on Project Engineering: [celebrado en] Lugo","","","","","","745-752"
"Artículo","A data mining approach for managing shared Ontological Knowledge","Ching Chieh Kiu, Chien Sing Lee","Proceedings","","","","","","16-18"
"Artículo","Cómo tener éxito en el CRM con las técnicas de ""data mining""","Francisco Gil","E-Deusto: conocimiento para ir por delante","","","","","","36-38"
"Artículo","Factores de éxito de un emprendimiento: Un estudio exploratorio con base en técnicas de data mining","María Messina, Esther Hochsztain","Tec Empresarial","","","","","","30-40"
"Artículo","Tendencias en minería de datos de la Web","Ricardo Baeza Yates","El profesional de la información","","","","","","5-10"
"Artículo","Development of an interactive game-based learning environment to teach data mining","Mehmet Cengiz, Kokten Ulas Birant, Pelin Yildirim, Derya Birant","The International journal of engineering education","","","","","","1598-1617"
"Artículo","Statistical Comparisons of the Top 10 Algorithms in Data Mining for Classification Task","Nesma Settouti, Mohammed El Amine Bechar, Mohammed Amine Chikh","IJIMAI","","","","","","46-51"
"Artículo","Deep Integration of Health Information Service System and Data Mining Analysis Technology","Zhihao Cui, Chaobing Yan","Applied Mathematics and Nonlinear Sciences","","","","","","443-452"
"Artículo","Developing a Software for Diagnosing Heart Disease via Data Mining Techniques","Yaser AbdulAali Jasim, Mustafa Ghanem Saeed","ADCAIJ: Advances in Distributed Computing and Artificial Intelligence Journal","","","","","","99-114"
"Artículo","Data mining with Temporal Abstractions: learning rules from time series","Lucia Sacchi, Cristiana Larizza, Carlo Combi, Riccardo Bellazzi","Data mining and knowledge discovery","","","","","","217-247"
"Artículo","Measurement of Social Capital through Data Mining Techniques at Universidad ECCI","Manuel Fernando Cabrera Jiménez, Olga Camila Hernández, Luz Stella García Monsalve, Luz Adriana Suarez Suarez","TECCIENCIA","","","","","","25-32"
"Artículo","Analyzing Students’ Academic Performance through Educational Data Mining","Sana Sana, Isma Farrah Siddiqui, Qasim Ali Arain","3c Tecnología: glosas de innovación aplicadas a la pyme","","","","","","402-421"
"Artículo","Prototype of assignment intelligent adaptive of service providers inside of ESB with data mining","Andrés Paolo Castaño","IJIMAI","","","","","","39-43"
"Artículo","A Model to Predict Low Academic Performance at a Specific Enrollment Using Data Mining","Camilo Ernesto López Guarín, Elizabeth Leon Guzmán, Fabio A. González","Revista Iberoamericana de Tecnologías del Aprendizaje: IEEE-RITA","","","","","","119-125"
"Artículo","Medical data mining: insights from winning two competitions","Saharon Rosset, Claudia Perlich, Grzergorz Świrszcz, Prem Melville, Yan Liu","Data mining and knowledge discovery","","","","","","439-468"
"Artículo","Comparing apples and oranges: measuring differences between exploratory data mining results","Nikolaj Tatti, Jilles Vreeken","Data mining and knowledge discovery","","","","","","173-207"
"Artículo","Ethological data mining: an automata-based approach to extract behavioral units and rules","Yasuki Kakishita, Kazutoshi Sasahara, Tetsuro Nishino, Miki Takahasi, Kazuo Okanoya","Data mining and knowledge discovery","","","","","","446-471"
"Artículo","Survey on distance metric learning and dimensionality reduction in data mining","Fei Wang, Jimeng Sun","Data mining and knowledge discovery","","","","","","534-564"
"Artículo","Generalization-based privacy preservation and discrimination prevention in data publishing and mining","Sara Hajian, Josep Domingo i Ferrer, Oriol Farràs Ventura","Data mining and knowledge discovery","","","","","","1158-1188"
"Artículo","The Social, Political and Legal Aspects of Text and Data Mining (TDM)","Michelle Brook, Peter Murray-Rust, Charles Oppenheim","D-Lib Magazine","","","","","",""
"Artículo","Data-Mining-based filtering to support Solar Forecasting Methodologies","Tiago Pinto, Luis Marques, Tiago M. Sousa, Isabel Praça, Zita Vale, Samuel L. Abreu","ADCAIJ: Advances in Distributed Computing and Artificial Intelligence Journal","","","","","","85-102"
"Artículo","Mining strong relevance between heterogeneous entities from unstructured biomedical data","Ming Ji, Qi He, Jiawei Han, Scott Spangler","Data mining and knowledge discovery","","","","","","976-998"
"Artículo","Seasonal and annual regional drought prediction by using data-mining approach","K. Yurekli, Mohammad Taghi Sattari, A.S. Anli, M.A. Hinis","Atmósfera","","","","","","85-105"
"Artículo","A preconditioned conjugate gradient algorithm for GeneRank with application to microarray data mining","Gang Wu, Wei Xu, Ying Zhang, Yimin Wei","Data mining and knowledge discovery","","","","","","27-56"
"Artículo","Technology: Data mining analysis of unqualified imported textile colorfastness","Zhang Jiake, Xue Wenliang, Wei Mengyuan","AATCC Review: the magazine of the textile dyeing","","","","","","35-41"
"Artículo","Data mining from a patient safety database: the lessons learned","James Bentham, David J. Hand","Data mining and knowledge discovery","","","","","","195-217"
"Artículo","Mining Massive Fine-Grained Behavior Data to Improve Predictive Analytics","David Martens, Foster Provost, Jessica Clark, Enric Junqué de Fortuny","MIS Quarterly","","","","","","869-888"
"Artículo","Optimizing the formation of the quality improvement teams through a data mining-based methodology","B Al-Salim","Quality control and applied statistics","","","","","","63-64"
"Artículo","Focus - Le data mining dans les Caf : une réalité, des perspectives","Pierre Collinet","Informations sociales","","","","","","129-132"
"Artículo","Statistical analysis and data mining highlights: prize-winning articles featured","Joe Verducci","AMSTAT news: the membership magazine of the American Statistical Association","","","","","",""
"Artículo","Online database and bioinformatics toolbox to support data mining in cancer cytogenetics","M. Baudis","BioTechniques","","","","","","269-272"
"Artículo","False Event Screening Using Data Mining in Historical Archives","Timothy J. Draelos, Michael J. Procopio, Jennifer E. Lewis, Christopher J. Young","Seismological Research Letters","","","","","","267-274"
"Artículo","Improving on ""Data mining reconsidered"" by K.D. Hoover and S.J. Perez","David F. Hendry, Hans-Martin Krolzig","General-to-specific modelling / Julia Campos Fernández (ed. lit.)","","","","","","448-465"
"Artículo","Guest Editorial: Special Issue on impacting patient care by mining medical data","Rómer Rosales, R. Rao","Data mining and knowledge discovery","","","","","","325-327"
"Artículo","Editor's Note: Special Section on Data Mining for Smart Cities","","Data mining and knowledge discovery","","","","","","736-736"
"Artículo","MINING FAMILY LEARNING DATA: NASA FAMILY SCIENCE NIGHT EXPERIMENT","","Edulearn 10. International conference on Education and New Learning Technology (Barcelona","","","","","","4342-4348"
"Artículo","Spurious Regression and Data Mining in Conditional Asset Pricing Models","Wayne Ferson","Handbook of quantitative finance and risk management / coord. por Cheng-Few Lee","","","","","","1067-1090"
"Artículo","Del análisis estadístico a la minería de datos (Data Mining) mediante Insightful Miner","Salvador Torra Porras","Forum tecnológico","","","","","",""
"Artículo","Data mining techniques for the study of online learning from an extended approach","José Manuel Sánchez Sordo","Multidisciplinary Journal for Education","","","","","","1-24"
"Artículo","Tractome: a visual data mining tool for brain connectivity analysis","Diana Porro-Muñoz, Emanuele Olivetti, Nusrat Sharmin, Thien Nguyen, Eleftherios Garyfallidis, Paolo Avesani","Data mining and knowledge discovery","","","","","","1258-1279"
"Artículo","Developing Cognitive Theory by Mining Large-Scale Naturalistic Data","Michael N. Jones","Big data in cognitive science / Michael N. Jones (aut.)","","","","","","1-12"
"Artículo","Data mining y análisis matemático de las cuotas de las casas de apuestas deportivas online","Gonzalo Pérez – Seoane Torres – Cabrera, Carlos Quesada González","Rect@: Revista Electrónica de Comunicaciones y Trabajos de ASEPUMA","","","","","","111-122"
"Artículo","Herding Cats: Modelling, Simulation, Testing, and Data Mining for Weak Memory","Jade Alglave, Luc Maranget, Michael Tautschnig","ACM transactions on programming languages and systems","","","","","",""
"Artículo","Guest editorial: special issue on utility-based data mining","Gary M. Weiss, Bianca Zadrozny, Maytal Saar-Tsechansky","Data mining and knowledge discovery","","","","","","129-135"
"Artículo","An evaluation of open source platforms for identification and quantitative proteomics data mining","A. Campos, D. Bellido, M.A. Odena, Eliandre de Oliveira Seoane","Proteómica: revista de la Sociedad Española de Proteómica","","","","","","93-93"
"Artículo","Characterizing malicious Android apps by mining topic-specific data flow signatures","Xinli Yang, David Lo, Li Li, Xin Xia, Tegawendé F. Bissyandé, Jacques Klein","Information and software technology","","","","","","27-39"
